Name,DOB,2026,2025,Diff
Isabella Taylor,02/01/1986,700,0,700
Zachary Rosenberg,02/04/1954,2550,0,2550
Emma Taylor,07/19/1971,2700,0,2700
Eliana Goldman,11/10/1958,4100,4100,0
Yael Peretz,06/01/1950,0,2100,-2100
Leah Johnson,04/03/1961,0,1800,-1800
Lucas Shapiro,11/15/1966,1900,1900,0
Yael Stone,02/15/1995,1831,1200,631
Eliana Adler,10/05/1944,1618,2350,-732
Shira Rubin,01/08/1980,0,3450,-3450
Beth Mizrahi,12/26/1971,3303,2450,853
Joshua Levy,08/05/1982,2635,1900,735
Ava Goldman,06/29/1978,2566,1900,666
Deborah Martinez,03/15/1942,0,2250,-2250
James Wolf,11/02/1983,2966,2450,516
Chloe Jones,11/14/1971,1452,2050,-598
Maya Solomon,12/15/1960,2729,2500,229
Harper Davis,03/05/1983,2654,1850,804
Alex Davis,07/24/1958,0,2800,-2800
Eliana Allen,11/19/1955,0,1200,-1200
Olivia Thomas,11/06/1974,0,1750,-1750
Charlotte Wolf,10/30/1980,1768,1350,418
Isabel Goldberg,09/15/1981,2999,2650,349
Maya Dahan,06/18/1978,2477,3200,-723
Adam White,10/31/1948,0,1850,-1850
Rachel Garcia,05/02/1955,945,1450,-505
Amelia Shapiro,05/28/1976,2500,0,2500
David Stein,10/13/1944,0,1850,-1850
Ari Peretz,09/18/1972,1700,0,1700
Beth Silver,03/31/1961,2779,1850,929
Chloe Taylor,01/29/1978,1999,2150,-151
Sophia Martinez,07/11/1950,2194,1900,294
Abigail Stein,04/30/1970,2100,2100,0
Beth Peretz,09/03/1972,3335,2600,735
Jordan Wilson,06/13/1949,1450,0,1450
Ari Rosen,05/01/1993,677,950,-273
Gabriel Rodriguez,02/24/1991,1484,1300,184
Levi Walker,07/11/1970,0,0,0
Joshua Stein,06/18/1974,2800,0,2800
Isabel Sanchez,12/13/1969,0,1550,-1550
Isabel Walker,07/18/1979,2184,1450,734
Zachary Rosen,06/11/1964,1057,1200,-143
Ari Peretz,05/23/1994,0,0,0
Julia Frank,01/14/1967,2960,3400,-440
Mia Martinez,05/08/1958,1580,900,680
Noah Lee,06/09/1973,2400,2400,0
Charlotte Price,06/24/1954,2850,3000,-150
Moshe Katz,01/01/1965,2170,2350,-180
Aaron Taylor,07/19/1972,1276,1900,-624
Amelia Wolf,03/21/1946,2600,0,2600
Tamar Clark,08/16/1980,1493,750,743
William Wilson,06/01/1966,1721,1850,-129
Lucas Smith,06/06/1978,743,1300,-557
Aaron Thompson,09/10/1948,2432,2850,-418
Joseph Robinson,09/26/1974,1300,0,1300
Joseph Mizrahi,08/02/1946,0,0,0
Isabella Silver,12/02/1984,1462,1650,-188
Henry Moore,03/18/1980,0,0,0
Grace Gordon,03/03/1977,981,1700,-719
William Moore,01/08/1998,1024,1200,-176
Andrew Gordon,07/02/1945,3000,0,3000
Michael Goldman,10/06/1955,2001,1550,451
Samuel Cohen,07/25/1963,2200,0,2200
Levi Moore,12/06/1980,1750,0,1750
Gabriel Clark,10/02/1953,2150,2150,0
Eli Rosen,02/20/1975,0,0,0
Eliana Jackson,12/17/1964,2129,1950,179
Olivia Goldberg,10/28/1982,0,0,0
Eli Gordon,07/14/1977,0,1750,-1750
Eli Schwartz,01/27/1984,1254,1650,-396
Alex Schwartz,11/24/1949,1550,0,1550
Elizabeth Stone,12/08/1967,1684,1800,-116
Jonathan Simon,03/17/1947,0,1500,-1500
Nathan Fox,06/25/1992,1625,1150,475
Hannah Green,09/11/1974,0,1550,-1550
Aaron Schwartz,10/03/1957,2078,2600,-522
Aaron Williams,09/16/1968,1850,0,1850
Rachel Brown,10/01/1962,2050,0,2050
Maya Weiss,05/24/1956,2815,2400,415
Ezra Gordon,12/03/1956,1750,1900,-150
Isabel Bloom,10/04/1995,1800,0,1800
Julia Lewis,05/22/1945,0,0,0
Ari Bloom,02/20/1989,2550,0,2550
Eliana Jones,01/31/1945,2172,2300,-128
Ethan Cohen,09/30/1957,0,2500,-2500
Amelia Azoulay,12/25/1951,797,1500,-703
Alexander Bloom,10/19/1992,0,1650,-1650
Grace Smith,07/27/1958,500,500,0
Levi Newman,06/19/1971,1044,1400,-356
Jason Clark,02/27/1955,3303,2500,803
Julia Thompson,05/11/1969,1404,1250,154
Leah Friedman,07/08/1947,2040,2600,-560
Deborah Clark,07/27/1981,0,1150,-1150
Miriam Weiss,03/14/1961,2450,0,2450
Rachel Lee,12/12/1961,2115,2500,-385
Rachel Elias,12/02/1965,2200,0,2200
Sophia Stone,09/19/1981,1879,1450,429
Ethan Kaplan,07/25/1972,2350,0,2350
Elizabeth Lewis,11/30/1953,901,1650,-749
Isaac Wilson,05/13/1958,0,3950,-3950
Daniel Johnson,06/23/1947,1500,1500,0
Ezra Young,11/02/1979,165,950,-785
Liam Fisher,03/18/1981,3171,2850,321
Emily Brown,10/16/1959,2228,2800,-572
Amelia Smith,12/22/1991,2069,1750,319
Andrew Davis,07/13/1940,2824,3200,-376
Jennifer Elias,08/05/1974,1750,0,1750
Eve Dahan,07/31/1974,1648,2200,-552
Amelia Levy,11/30/1979,1868,2100,-232
Gabriel Sanchez,10/27/1967,1650,0,1650
Lucas Smith,01/27/1967,1029,900,129
Shira Brown,10/13/1959,1375,1850,-475
Harper Smith,10/19/1950,3166,2350,816
Isaac Simon,09/21/1953,2715,2150,565
Ethan Becker,08/06/1963,1700,0,1700
Moshe Robinson,12/11/1955,2946,2150,796
Jack Rosen,08/29/1947,2005,1600,405
Leah Sanchez,08/11/1951,1291,1800,-509
Joshua Goldman,09/05/1941,2037,2600,-563
Hannah Solomon,09/04/1942,1951,1600,351
Eliana Allen,04/26/1944,0,2950,-2950
Adam Rodriguez,01/18/1957,2050,0,2050
Sarah Stone,04/03/1942,404,850,-446
Maya Newman,10/17/1989,1339,1450,-111
Olivia Rubin,08/08/1952,1750,1750,0
Eli Moore,09/08/1944,2250,2250,0
Emma Thomas,12/10/1998,0,2050,-2050
Emily Adler,12/30/1980,2210,1800,410
Ruth Goldman,06/21/1950,2909,3700,-791
Beth Jones,10/07/1993,2274,2400,-126
Chloe Davis,08/03/1952,1413,2050,-637
Anna Simon,03/18/1942,1292,2000,-708
Harper Kaplan,03/18/1977,0,2200,-2200
