Date,ID,Member Since,Type,Charge,Join Date,Zip,Primary's Birthday,Account ID,Type External ID,Date Entered
1/1/2023,TXN00000350,11/18/2010,HH Pledges/Memorial Book,998,11/18/2010,10026,12/9/1974,ACC010043,TYPE2,1/3/2023
1/1/2023,TXN00000809,11/18/2008,HH Pledges/Memorial Book,393,11/18/2008,10040,4/16/1994,ACC010103,TYPE2,1/3/2023
1/1/2023,TXN00001384,11/18/2018,Hineini Pledges,5747,11/18/2018,11211,6/18/1967,ACC010179,TYPE1,1/3/2023
1/1/2023,TXN00001478,11/18/2020,High Holiday Tickets,500,11/18/2020,10013,4/1/1975,ACC010191,TYPE4,1/2/2023
1/2/2023,TXN00000319,11/18/1998,Building Fund,1032,11/18/1998,10023,12/18/1958,ACC010038,TYPE6,1/4/2023
1/5/2023,TXN00000441,11/18/2009,High Holiday Tickets,462,11/18/2009,10036,1/5/1970,ACC010056,TYPE4,1/7/2023
1/5/2023,TXN00000636,11/18/2010,Religious School Fees,2184,11/18/2010,11215,2/7/2000,ACC010081,TYPE3,1/6/2023
1/6/2023,TXN00000676,11/18/2002,Religious School Fees,3000,11/18/2002,11217,11/15/1996,ACC010087,TYPE3,1/8/2023
1/6/2023,TXN00001369,11/18/1996,Religious School Fees,1040,11/18/1996,11222,6/17/1973,ACC010178,TYPE3,1/6/2023
1/7/2023,TXN00000269,11/18/2007,Hineini Pledges,13443,11/18/2007,10075,8/13/1978,ACC010033,TYPE1,1/8/2023
1/8/2023,TXN00000093,11/18/1998,HH Pledges/Memorial Book,992,11/18/1998,11231,6/7/1974,ACC010011,TYPE2,1/8/2023
1/8/2023,TXN00001006,11/18/2010,HH Pledges/Memorial Book,298,11/18/2010,10027,5/13/1991,ACC010130,TYPE2,1/10/2023
1/10/2023,TXN00000585,11/18/2018,Religious School Fees,1322,11/18/2018,10018,2/11/1983,ACC010074,TYPE3,1/12/2023
1/10/2023,TXN00000622,11/18/2010,HH Pledges/Memorial Book,252,11/18/2010,10022,11/10/1986,ACC010079,TYPE2,1/10/2023
1/10/2023,TXN00000871,11/18/2008,High Holiday Tickets,500,11/18/2008,10035,12/14/1973,ACC010111,TYPE4,1/10/2023
1/11/2023,TXN00000745,11/18/1998,High Holiday Tickets,500,11/18/1998,10065,1/8/1980,ACC010096,TYPE4,1/13/2023
1/13/2023,TXN00001507,11/18/2013,Hineini Pledges,1800,11/18/2013,10022,10/4/1989,ACC010196,TYPE1,1/13/2023
1/14/2023,TXN00000256,11/18/2014,HH Pledges/Memorial Book,1000,11/18/2014,10011,12/21/1951,ACC010032,TYPE2,1/14/2023
1/16/2023,TXN00000623,11/18/2010,Building Fund,2637,11/18/2010,10022,11/10/1986,ACC010079,TYPE6,1/17/2023
1/16/2023,TXN00000795,11/18/2017,High Holiday Tickets,500,11/18/2017,10014,8/26/1978,ACC010101,TYPE4,1/17/2023
1/16/2023,TXN00001202,11/18/2012,Building Fund,527,11/18/2012,10022,6/7/1985,ACC010155,TYPE6,1/17/2023
1/17/2023,TXN00000089,11/18/2000,HH Pledges/Memorial Book,185,11/18/2000,10023,2/18/1960,ACC010010,TYPE2,1/19/2023
1/17/2023,TXN00000152,11/18/2000,Religious School Fees,2674,11/18/2000,11215,2/9/1991,ACC010017,TYPE3,1/18/2023
1/17/2023,TXN00000195,11/18/2006,Religious School Fees,3000,11/18/2006,10040,10/20/1975,ACC010024,TYPE3,1/17/2023
1/18/2023,TXN00000011,11/18/2004,Hineini Pledges,1800,11/18/2004,10001,10/2/1977,ACC010001,TYPE1,1/19/2023
1/18/2023,TXN00000523,11/18/2023,Adult Education,300,11/18/2023,11222,5/7/1975,ACC010066,TYPE5,1/18/2023
1/18/2023,TXN00001371,11/18/1996,Hineini Pledges,1800,11/18/1996,11222,6/17/1973,ACC010178,TYPE1,1/19/2023
1/19/2023,TXN00000046,11/18/1998,Religious School Fees,2348,11/18/1998,10069,11/18/1961,ACC010005,TYPE3,1/20/2023
1/20/2023,TXN00000911,11/18/2017,Hineini Pledges,5298,11/18/2017,10065,8/28/1946,ACC010116,TYPE1,1/22/2023
1/21/2023,TXN00001311,11/18/1997,HH Pledges/Memorial Book,543,11/18/1997,10065,1/24/1956,ACC010172,TYPE2,1/21/2023
1/22/2023,TXN00000091,11/18/2000,Building Fund,1401,11/18/2000,10023,2/18/1960,ACC010010,TYPE6,1/24/2023
1/22/2023,TXN00000092,11/18/1998,Hineini Pledges,2721,11/18/1998,11231,6/7/1974,ACC010011,TYPE1,1/24/2023
1/23/2023,TXN00000484,11/18/2024,Building Fund,2591,11/18/2024,10003,1/11/1950,ACC010062,TYPE6,1/23/2023
1/23/2023,TXN00000654,11/18/1995,Religious School Fees,1791,11/18/1995,10020,6/18/1987,ACC010083,TYPE3,1/25/2023
1/23/2023,TXN00000662,11/18/2003,Adult Education,224,11/18/2003,10024,12/25/1976,ACC010084,TYPE5,1/24/2023
1/24/2023,TXN00001012,11/18/2016,Hineini Pledges,1800,11/18/2016,10016,1/22/1963,ACC010131,TYPE1,1/24/2023
1/25/2023,TXN00001358,11/18/2016,High Holiday Tickets,209,11/18/2016,10001,5/22/1956,ACC010177,TYPE4,1/27/2023
1/26/2023,TXN00000562,11/18/1997,High Holiday Tickets,500,11/18/1997,10065,12/7/1987,ACC010071,TYPE4,1/27/2023
1/26/2023,TXN00000688,11/18/2021,Building Fund,976,11/18/2021,10022,8/17/1977,ACC010088,TYPE6,1/26/2023
1/27/2023,TXN00000478,11/18/2021,Adult Education,300,11/18/2021,10026,5/9/1961,ACC010061,TYPE5,1/28/2023
1/27/2023,TXN00000868,11/18/2008,Adult Education,300,11/18/2008,10035,12/14/1973,ACC010111,TYPE5,1/29/2023
1/29/2023,TXN00000653,11/18/1995,Adult Education,300,11/18/1995,10020,6/18/1987,ACC010083,TYPE5,1/29/2023
2/1/2023,TXN00000917,11/18/2011,HH Pledges/Memorial Book,210,11/18/2011,10021,10/2/1966,ACC010118,TYPE2,2/2/2023
2/2/2023,TXN00001257,11/18/2017,HH Pledges/Memorial Book,1000,11/18/2017,10031,10/28/1952,ACC010163,TYPE2,2/3/2023
2/2/2023,TXN00001283,11/18/2015,HH Pledges/Memorial Book,1000,11/18/2015,11201,11/4/1992,ACC010168,TYPE2,2/4/2023
2/3/2023,TXN00000003,11/18/2003,High Holiday Tickets,500,11/18/2003,10023,3/24/1965,ACC010000,TYPE4,2/4/2023
2/3/2023,TXN00000782,11/18/2019,Building Fund,5000,11/18/2019,10037,10/10/1947,ACC010100,TYPE6,2/4/2023
2/5/2023,TXN00000701,11/18/2010,HH Pledges/Memorial Book,466,11/18/2010,10034,3/22/1976,ACC010090,TYPE2,2/5/2023
2/5/2023,TXN00001289,11/18/2006,Adult Education,221,11/18/2006,10021,9/5/1965,ACC010169,TYPE5,2/5/2023
2/6/2023,TXN00000631,11/18/2004,Religious School Fees,3000,11/18/2004,11222,1/13/1972,ACC010080,TYPE3,2/6/2023
2/7/2023,TXN00000965,11/18/2011,Adult Education,300,11/18/2011,10024,1/13/1980,ACC010124,TYPE5,2/9/2023
2/7/2023,TXN00001300,11/18/1995,Hineini Pledges,1800,11/18/1995,10003,1/27/1948,ACC010171,TYPE1,2/9/2023
2/8/2023,TXN00000133,11/18/2002,HH Pledges/Memorial Book,390,11/18/2002,11206,6/8/1951,ACC010015,TYPE2,2/9/2023
2/8/2023,TXN00000641,11/18/2008,High Holiday Tickets,197,11/18/2008,11217,6/16/1943,ACC010082,TYPE4,2/10/2023
2/8/2023,TXN00001096,11/18/2005,HH Pledges/Memorial Book,848,11/18/2005,10023,1/24/1966,ACC010142,TYPE2,2/10/2023
2/9/2023,TXN00000700,11/18/2010,Hineini Pledges,3518,11/18/2010,10034,3/22/1976,ACC010090,TYPE1,2/10/2023
2/10/2023,TXN00000144,11/18/2001,Adult Education,300,11/18/2001,11211,4/3/1967,ACC010016,TYPE5,2/10/2023
2/10/2023,TXN00000860,11/18/2021,Building Fund,349,11/18/2021,10282,4/11/1985,ACC010110,TYPE6,2/11/2023
2/10/2023,TXN00000872,11/18/2008,High Holiday Tickets,163,11/18/2008,10035,12/14/1973,ACC010111,TYPE4,2/12/2023
2/10/2023,TXN00001229,11/18/2003,HH Pledges/Memorial Book,964,11/18/2003,10032,8/14/1997,ACC010158,TYPE2,2/10/2023
2/14/2023,TXN00001148,11/18/2001,Hineini Pledges,14951,11/18/2001,10282,6/5/1964,ACC010147,TYPE1,2/15/2023
2/16/2023,TXN00001301,11/18/1995,HH Pledges/Memorial Book,1000,11/18/1995,10003,1/27/1948,ACC010171,TYPE2,2/17/2023
2/18/2023,TXN00000349,11/18/2010,Hineini Pledges,11747,11/18/2010,10026,12/9/1974,ACC010043,TYPE1,2/18/2023
2/18/2023,TXN00001239,11/18/2006,HH Pledges/Memorial Book,347,11/18/2006,10010,3/16/1970,ACC010160,TYPE2,2/20/2023
2/19/2023,TXN00000955,11/18/2002,Hineini Pledges,6837,11/18/2002,10017,5/27/1964,ACC010123,TYPE1,2/21/2023
2/19/2023,TXN00001095,11/18/2005,HH Pledges/Memorial Book,1000,11/18/2005,10023,1/24/1966,ACC010142,TYPE2,2/19/2023
2/19/2023,TXN00001437,11/18/2021,Hineini Pledges,14313,11/18/2021,10020,12/5/1974,ACC010185,TYPE1,2/19/2023
2/20/2023,TXN00001108,11/18/2011,High Holiday Tickets,221,11/18/2011,10017,4/2/1956,ACC010143,TYPE4,2/21/2023
2/20/2023,TXN00001189,11/18/2007,Religious School Fees,3000,11/18/2007,11215,8/22/1985,ACC010153,TYPE3,2/20/2023
2/21/2023,TXN00000412,11/18/2014,Religious School Fees,3000,11/18/2014,10010,10/14/1953,ACC010054,TYPE3,2/21/2023
2/21/2023,TXN00000506,11/18/1996,Hineini Pledges,3395,11/18/1996,10044,1/4/1986,ACC010064,TYPE1,2/21/2023
2/23/2023,TXN00001409,11/18/2014,High Holiday Tickets,500,11/18/2014,10019,6/11/1963,ACC010182,TYPE4,2/24/2023
2/24/2023,TXN00000753,11/18/2015,Adult Education,203,11/18/2015,10010,2/20/1960,ACC010097,TYPE5,2/24/2023
